Name,Count of Baby Names,Count of Dog Names
Aza,109,2
Azul,1743,2
Baby,2929,277
Babyboy,631,1
Babygirl,588,1
Bailee,5399,7
Bailey,43677,532
Bailie,543,2
Baily,682,1
Bain,97,1
Baker,413,8
Baldwin,66,3
Bane,124,18
Banks,215,12
Bao,140,6
Barack,126,3
Barak,195,5
Barbara,4531,5
Barbie,241,18
Barnabas,71,1
Baron,1027,25
Barrett,2957,1
Barron,488,3
Barry,1823,14
Bart,93,10
Bartholomew,150,3
Baruch,321,1
Basia,148,2
Basil,533,39
Bastian,233,3
Bauer,160,1
Baxter,411,143
Bayle,112,1
Baylee,7700,5
Bayley,856,3
Bayli,390,1
Bea,115,6
Bear,170,272
Beatrice,2519,15
Beatrix,525,8
Beau,6241,74
Beauregard,68,17
Beautiful,361,2
Beaux,225,3
Becca,783,5
Beck,1057,2
Becker,129,4
Beckett,2415,12
Beckham,996,10
Becky,609,23
Bela,335,11
Belinda,2643,2
Bella,16703,1195
Belle,1291,124
Ben,4141,52
Benedict,832,5
Benicio,851,2
Benito,1550,7
Benjamin,137040,55
Benji,134,189
Benjiman,228,1
Benjimin,59,1
Bennet,339,1
Bennett,7397,12
Bennie,586,11
Benny,1736,133
Benson,1313,25
Bentley,2224,204
Bently,116,20
Benton,1080,1
Berkeley,481,7
Berkley,1062,3
Berlin,447,3
Bernadette,941,3
Bernard,2248,11
Bernice,866,1
Bernie,221,46
Berry,94,9
Bert,149,15
Berta,112,1
Bertha,667,4
Bertram,68,3
Bessie,179,23
Beth,940,4
Bethany,15301,2
Betsy,1793,39
Betty,1406,79
Beverly,1719,5
Bevin,139,1
Beyonce,1662,3
Bianca,18869,49
Bibi,111,22
Bibiana,378,1
Bijou,116,22
Bill,845,14
Billie,1278,36
Billy,5649,68
Bishop,1415,24
Bj,91,16
Bjorn,549,1
Blade,753,5
Blair,2493,4
Blaise,2089,7
Blake,51308,31
Blakely,939,1
Blanca,3189,26
Blas,326,1
Blaze,2417,48
Bless,84,2
Blessing,940,2
Bliss,243,6
Blossom,164,11
Blue,158,212
Blythe,780,1
Bo,2379,64
Bob,182,25
Bobbi,844,3
Bobbie,1081,7
Bobby,5686,87
Bode,910,12
Boden,970,2
Bodey,168,1
Bodhi,779,34
Bodi,124,2
Bodie,1033,14
Boe,168,3
Bonita,186,18
Bonnie,2049,83
Booker,186,11
Boone,496,7
Bora,135,2
Boris,575,28
Bosco,56,86
Boston,2848,8
Bowen,1281,1
Bowie,133,47
Bowman,108,2
Boy,190,25
Boyd,457,3
Brad,2167,3
Bradan,239,1
Braddock,131,1
Bradley,23688,15
Bradly,1234,1
Brady,34727,70
Brailee,188,1
Brandee,294,2
Branden,6187,1
Brandi,4044,33
Brandie,555,6
Brandin,551,1
Brando,794,21
Brandom,156,1
Brandon,142939,12
Brandy,4480,104
Branson,1920,1
Braxston,83,1
Braxton,14157,3
Brayan,8532,1
Brayden,50792,1
Braylin,1155,1
Brazil,153,1
Breann,1202,1
Breanna,27919,2
Breck,482,2
Bree,2041,10
Breeze,255,8
Breezy,128,7
Brenda,14319,5
Brenner,471,1
Brentley,154,1
Brett,14916,1
Brewer,101,1
Bria,3128,1
Brian,69811,13
Briana,28660,4
Brianna,99703,9
Briany,109,1
Briar,1708,2
Brice,3425,2
Brick,65,2
Bridget,9843,11
Bridgett,770,1
Bridgette,2158,7
Brie,508,7
Brielle,6565,1
Brienne,146,1
Briggs,620,5
Bright,59,1
Brighton,1269,4
Brigid,1106,2
Brigitte,793,2
Brin,136,1
Brinkley,379,7
Brinley,1838,1
Brion,212,1
Brisa,4340,2
Bristol,905,3
Brit,69,4
Britnee,211,1
Britney,9995,11
Britta,324,1
Brittaney,191,1
Brittany,17519,5
Brittney,7883,1
Brixton,136,4
Broc,758,1
Brock,12421,10
Brodee,266,1
Broderick,1889,1
Brodie,4267,19
Brody,26745,69
Brogan,1772,3
Bronson,1802,7
Bronte,203,4
Bronwyn,661,1
Bronx,114,21
Brook,2228,6
Brooke,54684,20
Brooklin,957,1
Brooklyn,37334,194
Brooklynn,11452,5
Brooks,3634,10
Bruce,5513,92
Bruin,65,5
Bruna,160,2
Bruno,2265,253
Bryan,62001,2
Bryce,40813,4
Brycen,3563,1
Bryley,102,1
Bryn,2127,1
Brynley,430,1
Bryson,19004,1
Buck,190,13
Buddy,353,677
Burton,247,1
Buster,98,282
Butch,73,40
Byron,5324,4
Cabot,117,1
Cadence,11226,1
Cadie,282,1
Cady,641,2
Caelan,1344,1
Caeley,269,2
